Ano,Brancos,Pretos e pardos
2013,3457,238
2014,3694,267
2015,3988,296
2016,4123,245
2017,4284,447
2018,4396,452
2019,5267,592
2020,5280,512
2021,5398,507
2022,6036,540
2023,4364,444
